Sr. No,All India Merit,Choice Code,Institute Name,Course Name,Exam Type,Type,Seat Type,rank,percentile
77,11983 (36.5149478),16140,KRANTIAGRANI DR. G. D. BAPU LAD MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,11983.0,36.5149478
78,12046 (36.4951664),16173,INDRAYANI MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,12046.0,36.4951664
79,12337 (35.9434309),16158,KARMAVEER BHAURAO PATIL ISLAMPUR,BCA,MAH-CET,AI,AI to AI,12337.0,35.9434309
80,12586 (35.2775596),6812,Progressive Education Society's Modern Institute of,BCA,MAH-CET,AI,AI to AI,12586.0,35.2775596
81,12590 (35.2775596),3047,MAHARSHI KARVE MODEL COLLEGE FOR WOMEN,BCA,MAH-CET,AI,AI to AI,12590.0,35.2775596
82,12681 (34.4144848),5119,C.H.M.E. Society's Dr. Moonje Institute for,BCA,MAH-CET,AI,AI to AI,12681.0,34.4144848
83,12744 (33.9388828),16308,AUDYOGIK SHIKSHAN MANDAL COLLEGE OF,BCA,MAH-CET,AI,AI to AI,12744.0,33.9388828
84,13022 (33.1027305),4704,SHRI MATHURADAS MOHOTA SCIENCE OF COLLEGE,BCA,MAH-CET,AI,AI to AI,13022.0,33.1027305
85,13133 (33.0202969),5594,SHAHADA TALUKA EDUCATIONAL SOCIETY AND,BCA,MAH-CET,AI,AI to AI,13133.0,33.0202969
86,13162 (33.0202969),16253,"SVPM's COLLEGE OF COMMERCE, SCIENCE AND",BCA,MAH-CET,AI,AI to AI,13162.0,33.0202969
87,13409 (31.5748339),16287,SINHGAD  COLLEGE OF SCIENCE,BCA,MAH-CET,AI,AI to AI,13409.0,31.5748339
88,13457 (31.5748339),6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology,",BCA,MAH-CET,AI,AI to AI,13457.0,31.5748339
89,13615 (29.9987756),2702,BILL GATES INSTITUTE OF COMPUTER SCIENCE AND,BCA,MAH-CET,AI,AI to AI,13615.0,29.9987756
90,13668 (29.9987756),16231,A. R.BURLA MAHILA VARISHTHA MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,13668.0,29.9987756
91,13973 (29.9787943),2704,HITECH COLLEGE OF MANAGEMENT AND COMPUTER,BCA,MAH-CET,AI,AI to AI,13973.0,29.9787943
92,13994 (29.9787943),2671,MAULANA AZAD COLLEGE OF ARTS SCIENCE AND,BCA,MAH-CET,AI,AI to AI,13994.0,29.9787943
93,14026 (29.9787943),1335,SHRI BACCHUBHAU KADU BCA MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,14026.0,29.9787943
94,14035 (29.9787943),4153,Sarvodaya Shikshan Mandal's Sardar Patel,BCA,MAH-CET,AI,AI to AI,14035.0,29.9787943
95,14044 (29.9787943),16353,"Shivsamarth Institute of Management, Talmawale",BCA,MAH-CET,AI,AI to AI,14044.0,29.9787943
96,14112 (29.1636930),4725,DR. S.C. GULHANE PRERNA COLLEGE OF COMMERCE,BCA,MAH-CET,AI,AI to AI,14112.0,29.163693
97,14149 (28.4355868),5629,SMT SITABAI MANGILAL AGRAWAL INSTITUTE OF,BCA,MAH-CET,AI,AI to AI,14149.0,28.4355868
98,14259 (28.1480059),16327,PROF RAMKRISHNA MORE ARTS COMMERCE AND,BCA,MAH-CET,AI,AI to AI,14259.0,28.1480059
99,14345 (27.3539856),5620,KRT ARTS BH COMMERCE AND AM SCIENCE COLLEGE,BCA,MAH-CET,AI,AI to AI,14345.0,27.3539856
100,14435 (27.3539856),1314,SMT RADHADEVI GOENKA COLLEGE FOR WOMEN,BCA,MAH-CET,AI,AI to AI,14435.0,27.3539856
101,14439 (27.3539856),16229,DESHBHAKT HARINARAYAN BANKATLAL SONI,BCA,MAH-CET,AI,AI to AI,14439.0,27.3539856
102,14505 (27.0816968),6366,"Saibalaji Education Society, International Institute of",BCA,MAH-CET,AI,AI to AI,14505.0,27.0816968
103,14511 (27.0816968),16232,MAEER'S MIT ARTS COMMERCE AND SCIENCE,BCA,MAH-CET,AI,AI to AI,14511.0,27.0816968
104,14544 (26.6888822),16163,DR.GANPATRAO DESHMUKH MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,14544.0,26.6888822
105,14564 (26.6888822),16271,AAER'S ASIAN COLLEGE OF SCIENCE AND COMMERCE,BCA,MAH-CET,AI,AI to AI,14564.0,26.6888822
106,14673 (26.6888822),6310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan",BCA,MAH-CET,AI,AI to AI,14673.0,26.6888822
107,14907 (25.7001433),5596,MATOSHRI EDUCATION SOCIETY,BCA,MAH-CET,AI,AI to AI,14907.0,25.7001433
108,15004 (24.7153177),16166,ARTS COMMERCE AND SCIENCE COLLEGE PALUS,BCA,MAH-CET,AI,AI to AI,15004.0,24.7153177
109,15031 (24.7153177),5604,SHAHADA TALUKA EDUCATIONAL SOCIETY AND,BCA,MAH-CET,AI,AI to AI,15031.0,24.7153177
110,15058 (24.7153177),6899,Chhatrapati Shahu Institute of Business Education &,BCA,MAH-CET,AI,AI to AI,15058.0,24.7153177
111,15198 (24.7153177),16125,"Vivekanand College, Kolhapur",BCA,MAH-CET,AI,AI to AI,15198.0,24.7153177
112,15411 (23.5686156),16201,SHRIMAN BHAUSAHEB ZADBUKE MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,15411.0,23.5686156
113,15412 (23.5686156),4706,"DHOTE BANDHU SCIENCE COLLEGE, GONDIA",BCA,MAH-CET,AI,AI to AI,15412.0,23.5686156
114,15456 (23.5686156),6632,Navsahyadri Education Society's Group of,BCA,MAH-CET,AI,AI to AI,15456.0,23.5686156
115,15921 (21.7460512),4747,"JANAPRABHA COLLEGE, RAMTEK",BCA,MAH-CET,AI,AI to AI,15921.0,21.7460512
116,15945 (21.0919089),16209,SMT. KUSUMTAI RAJARAMBAPU PATIL KANYA,BCA,MAH-CET,AI,AI to AI,15945.0,21.0919089
