Sr.No.,Merit (Score),Choice Code,Institute Name,Course Name,Type,Seat Type,rank,percentile
79,12188 (65.8578922),1620724170U,SADGURU GADGE MAHARAJ COLLEGE KARAD,Master in Computer Application,AI-AI,AI,12188.0,65.8578922
80,12262 (65.8578922),510924110,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",Master in Computer Application,AI-AI,AI,12262.0,65.8578922
81,12297 (63.1574978),1625924110,FRIENDS UNION FOR ENERGISING LIVES FUEL COLLEGE,Master in Computer Application,AI-AI,AI,12297.0,63.1574978
82,12313 (63.1574978),266424110,"Deogiri College, Chh. Sambhaji Nagar",Master in Computer Application,AI-AI,AI,12313.0,63.1574978
83,12403 (63.1574978),110224110,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",Master in Computer Application,AI-AI,AI,12403.0,63.1574978
84,12527 (63.1574978),251924110,"Shri V. D. Deshmukh College of MCA, Kolpa Dist. Latur",Master in Computer Application,AI-AI,AI,12527.0,63.1574978
85,12726 (63.1574978),322324210,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Master of Computer Applications,AI-AI,AI,12726.0,63.1574978
86,13158 (61.2807064),1612524210,"Vivekanand College, Kolhapur",Master of Computer Applications,AI-AI,AI,13158.0,61.2807064
87,13184 (61.2807064),1635624110,Dr. Sudhakar Rao Jadhavar Institute of Management & Technology,Master in Computer Application,AI-AI,AI,13184.0,61.2807064
88,13862 (58.7911466),631924110,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",Master in Computer Application,AI-AI,AI,13862.0,58.7911466
89,13892 (58.7911466),412424110,"Amar Seva Mandal's Kamla Nehru Mahavidyalaya, Nagpur",Master in Computer Application,AI-AI,AI,13892.0,58.7911466
90,13894 (58.7911466),538024110,"Adsul's Technical Campus, Chas Dist. Ahmednagar",Master in Computer Application,AI-AI,AI,13894.0,58.7911466
91,14115 (58.7911466),414724110,"K.D.K. College of Engineering, Nagpur",Master in Computer Application,AI-AI,AI,14115.0,58.7911466
92,14161 (58.7911466),1613024270U,KARMAVEER HIRE ARTS SCIENCE COMMERCE AND EDUCATION COLLEGE,Master of Computer Applications,AI-AI,AI,14161.0,58.7911466
93,14172 (58.7911466),511224110,"Padmashree Dr. Vithalrao Vikhe Patil Foundation's Institute of Business Management & Rural Development, Ahmednagar",Master in Computer Application,AI-AI,AI,14172.0,58.7911466
94,14206 (58.7911466),200724110,"Swami Ramanand Teerth Marathwada Vidyapeeth, Nanded",Master in Computer Application,AI-AI,AI,14206.0,58.7911466
95,14323 (56.5488095),515024110,"R.C. Patel Educational Trust, Institute of Management Reasearch & Development, Shirpur",Master in Computer Application,AI-AI,AI,14323.0,56.5488095
96,14390 (56.5488095),510424110,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",Master in Computer Application,AI-AI,AI,14390.0,56.5488095
