Sr No,College,College Code,Course,Location,Category,Quota,AIR,cap_round,year
413,Bharati Vidyapeeth Col,1602,Applied Art,Pune,EWS,EWS,1100,CAP-1,2025-26
414,Bharati Vidyapeeth Col,1602,Applied Art,Pune,EWS,EWS,1120,CAP-1,2025-26
415,Viva Institute,1701,Painting,Virar,OBC,OBC,1125,CAP-1,2025-26
416,Viva Institute,1701,Painting,Virar,OBC,OBC,1132,CAP-1,2025-26
417,KCE`S Moolji Jaitha Colle,2302,Applied Art,Jalgaon,EWS,EWS,1136,CAP-1,2025-26
418,BS Bandekar Col,1402,Applied Art,Sawantwadi Sind,SEBC,SEBC,1137,CAP-1,2025-26
419,BS Bandekar Col,1402,Applied Art,Sawantwadi Sind,SC,SC,1140,CAP-1,2025-26
420,KCE`S Moolji Jaitha Colle,2302,Applied Art,Jalgaon,SC,OPEN,1151,CAP-1,2025-26
421,KCE`S Moolji Jaitha Colle,2302,Applied Art,Jalgaon,OBC,OBC,1170,CAP-1,2025-26
422,Bharati Vidyapeeth Col,1602,Applied Art,Pune,EWS,EWS,1194,CAP-1,2025-26
423,KCE`S Moolji Jaitha Colle,2302,Applied Art,Jalgaon,OBC,OBC,1209,CAP-1,2025-26
424,KCE`S Moolji Jaitha Colle,2301,Painting,Jalgaon,VJA,OPEN(W),1211,CAP-1,2025-26
425,Govt. Col of Art & Design,2102,Applied Art,Nagpur,ST,ST,1213,CAP-1,2025-26
426,Bharati Vidyapeeth Col,1601,Painting,Pune,EWS,EWS,1216,CAP-1,2025-26
427,KCE`S Moolji Jaitha Colle,2301,Painting,Jalgaon,OPEN,OPEN(W),1220,CAP-1,2025-26
428,Bharati Vidyapeeth Col,1602,Applied Art,Pune,ST,ST,1223,CAP-1,2025-26
429,Bharati Vidyapeeth Col,1602,Applied Art,Pune,ST,ST,1244,CAP-1,2025-26
430,KCE`S Moolji Jaitha Colle,2302,Applied Art,Jalgaon,OBC,OBC,1267,CAP-1,2025-26
431,Govt. Col of Art & Design,2203,Textile Design,Chatrapati Samb,SEBC,SEBC,1298,CAP-1,2025-26
