institute_code,institute_name,branch_code,branch,course_name,category,rank,score,gender,quota,category1,year,cap_round
6207,"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil  Institute of Technology, Pimpri, Pune",0620724510,ME/M.Tech,Computer Engineering,GOPENS,1632,13.32,G,S,OPEN,2025,3
6214,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",0621421210,ME/M.Tech,Structural Engineering,GOBCS,3447,7.16,G,S,OBC,2025,3
6214,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",0621424210,ME/M.Tech,Computer Science and Engineering,GOPENS,4443,4.01,G,S,OPEN,2025,3
6214,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",0621424210,ME/M.Tech,Computer Science and Engineering,GSCS,5296,0.32,G,S,SC,2025,3
6220,"SVERI's College of Engineering, Pandharpur",0622021210,ME/M.Tech,Structural Engineering,GOPENS,4298,4.46,G,S,OPEN,2025,3
6220,"SVERI's College of Engineering, Pandharpur",0622024210,ME/M.Tech,Computer Science and Engineering,GOPENS,5222,0.74,G,S,OPEN,2025,3
6222,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",0622224210,ME/M.Tech,Computer Science and Engineering,GNT2S,1618,60.62,G,S,NT2,2025,3
6250,"D.Y. Patil College of Engineering and Technology, Kolhapur",0625024210,ME/M.Tech,Computer Science and Engineering,GNT1S,4114,5.19,G,S,NT1,2025,3
6250,"D.Y. Patil College of Engineering and Technology, Kolhapur",0625037210,ME/M.Tech,Electronics and Telecommunication Engg,GOBCS,3302,7.67,G,S,OBC,2025,3
6265,"Walchand Institute of Technology, Solapur",0626521210,ME/M.Tech,Structural Engineering,GOPENS,3593,6.82,G,S,OPEN,2025,3
6267,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",0626720110,ME/M.Tech,Environmental Engineering,GOPENS,4031,5.45,G,S,OPEN,2025,3
6267,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",0626794710,ME/M.Tech,Computer Science and Engineering (Data Science),GOPENS,2674,9.42,G,S,OPEN,2025,3
6268,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",0626821010,ME/M.Tech,Construction Management,GSCS,4524,3.77,G,S,SC,2025,3
6271,Pune Institute of Computer Technology,0627124510,ME/M.Tech,Computer Engineering,GSCS,957,17.51,G,S,SC,2025,3
6271,Pune Institute of Computer Technology,0627124510,ME/M.Tech,Computer Engineering,GSEBCS,4214,4.83,G,S,SEBC,2025,3
6271,Pune Institute of Computer Technology,0627194010,ME/M.Tech,Data Sciences,GOPENS,163,367.0,G,S,OPEN,2025,3
6271,Pune Institute of Computer Technology,0627194010,ME/M.Tech,Data Sciences,GSCS,1116,16.28,G,S,SC,2025,3
6271,Pune Institute of Computer Technology,0627194010,ME/M.Tech,Data Sciences,GSTS,3900,5.84,G,S,ST,2025,3
6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",0627220110,ME/M.Tech,Environmental Engineering,GOPENS,3083,8.26,G,S,OPEN,2025,3
6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",0627220110,ME/M.Tech,Environmental Engineering,GNT3S,5300,0.32,G,S,NT3,2025,3
6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",0627220110,ME/M.Tech,Environmental Engineering,GOBCS,1709,58.96,G,S,OBC,2025,3
6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",0627224510,ME/M.Tech,Computer Engineering,GOPENS,1115,16.28,G,S,OPEN,2025,3
6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",0627224510,ME/M.Tech,Computer Engineering,GSTS,1292,15.06,G,S,ST,2025,3
6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",0627294210,ME/M.Tech,Robotics and Automation,GOPENS,4190,5.0,G,S,OPEN,2025,3
6276,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",0627624550F,ME/M.Tech,Computer Engineering,GOPENS,147,374.0,G,S,OPEN,2025,3
6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",0627821010,ME/M.Tech,Construction Management,GOPENS,1986,11.71,G,S,OPEN,2025,3
6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",0627821010,ME/M.Tech,Construction Management,GSCS,2175,11.02,G,S,SC,2025,3
6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",0627821010,ME/M.Tech,Construction Management,GSTS,4633,3.43,G,S,ST,2025,3
6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",0627894310,ME/M.Tech,Artificial Intelligence and Data Science,GOPENS,1096,16.33,G,S,OPEN,2025,3
6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",0627894310,ME/M.Tech,Artificial Intelligence and Data Science,GSTS,4598,3.57,G,S,ST,2025,3
6281,"Modern Education Society's Wadia College of Engineering, Pune",0628124510,ME/M.Tech,Computer Engineering,PWDOPENS,1244,66.0,P,S,OPEN,2025,3
6282,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",0628234110,ME/M.Tech,VLSI and Embeded Systems,GSCS,4184,5.0,G,S,SC,2025,3
6284,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",0628494310,ME/M.Tech,Artificial Intelligence and Data Science,GOPENS,3369,7.33,G,S,OPEN,2025,3
6284,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",0628494310,ME/M.Tech,Artificial Intelligence and Data Science,GSCS,3833,6.0,G,S,SC,2025,3
6284,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",0628494310,ME/M.Tech,Artificial Intelligence and Data Science,GOBCS,4044,5.33,G,S,OBC,2025,3
6284,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",0628494310,ME/M.Tech,Artificial Intelligence and Data Science,GSEBCS,1198,66.6,G,S,SEBC,2025,3
6285,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",0628524550F,ME/M.Tech,Computer Engineering,GOPENS,2186,11.0,G,S,OPEN,2025,3
6285,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",0628524550F,ME/M.Tech,Computer Engineering,GSTS,3676,6.49,G,S,ST,2025,3
6288,"Bharati Vidyapeeth's College of Engineering, Kolhapur",0628824210,ME/M.Tech,Computer Science and Engineering,GOPENS,4571,3.6,G,S,OPEN,2025,3
6288,"Bharati Vidyapeeth's College of Engineering, Kolhapur",0628824210,ME/M.Tech,Computer Science and Engineering,GNT2S,816,71.0,G,S,NT2,2025,3
6298,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",0629894010,ME/M.Tech,Data Sciences,GOPENS,3689,6.49,G,S,OPEN,2025,3
