sr_no,merit_no,score,choice_code,institute_name,course_name,type,seat_type
229,39702,27.56,511910110,"C.H.M.E. Society's Dr. Moonje Institute for Management & Computer Studies, Nashik",M. B. A.,AI-AI,AI
230,39763,27.5,619110110,"Shri Bhairavnath Shikshan Prasarak Mandal's Adhalrao Patil Institute of Management and Research, Landewadi",M. B. A.,AI-AI,AI
231,39832,27.5,511210110,"Padmashree Dr. Vithalrao Vikhe Patil Foundation's Institute of Business Management & Rural Development, Ahmednagar",M. B. A.,AI-AI,AI
232,39872,27.5,532010110,"Abhinav Education Society's Institute of Management & Business Administration, Akole",M. B. A.,AI-AI,AI
233,40262,25.5,410510110,"GES Department Of Management Technology N.M.D.PG College Of Arts, Commerce, Law & Management, Gondia",M. B. A.,AI-AI,AI
234,40546,25.28,343710210,"Sahyadri Institute of Management & Research, Sawarde.",M. M. S.,AI-AI,AI
235,40572,25.25,413810110,"Jaidev Education Society, J D College of Engineering and Management, Nagpur",M. B. A.,AI-AI,AI
236,40632,25.25,319410210,"Vidyavardhini's College of Engineering and Technology, Vasai",M. M. S.,AI-AI,AI
237,40707,25.25,518616510,"R. C. Patel Institute of Pharmaceutical Education and Research, Shirpur",M.B.A.(Marketing Management),AI-AI,AI
238,40723,25.25,345210210,"Matoshri. Ushatai Jadhav Institute of Management studies & Research Centre, Bhivandi",M. M. S.,AI-AI,AI
240,40978,24.5,677510110,"Yashaswi Education Society's International Institute of Management Science, Chinchwad, Pune",M. B. A.,AI-AI,AI
241,40983,24.5,663210110,Navsahyadri Education Society's Group of Institutions,M. B. A.,AI-AI,AI
242,41036,24.5,622010110,"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur",M. B. A.,AI-AI,AI
243,41180,24.47,530310110,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,",M. B. A.,AI-AI,AI
244,41206,24.47,621710110,"Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Mane Group of Institutions",M. B. A.,AI-AI,AI
245,41341,24.27,677310110,"Akemi Business School, Mulsi, Pune.",M. B. A.,AI-AI,AI
246,41529,22.81,313110210,"Hashmatrai and Gangaram Himathmal Mansukhani Institute of Management, Ulhasnagar, Thane",M. M. S.,AI-AI,AI
247,41616,22.81,515210110,"G H Raisoni Institute of Engineering and Business Management, Jalgaon",M. B. A.,AI-AI,AI
248,41619,22.81,551010110,Sanjivani Institute of Management Studies,M. B. A.,AI-AI,AI
249,41639,22.81,697210110,"Shri. Someshwar Shikshan Prasarak Mandals Sharadchandra Pawar Institute of Management & Research, Someshwarnagar,",M. B. A.,AI-AI,AI
250,41703,22.75,353010110,"M. S. College of Management, Devghar Vada",M. B. A.,AI-AI,AI
251,41715,22.75,200210110,"Dr. Babasaheb Ambedkar Marathwada University, Sub Centre, Osmanabad",M. B. A.,AI-AI,AI
252,41776,22.75,612410110,"Kasturi Shikshan Sansta's Institute of Management, Shikhrapur",M. B. A.,AI-AI,AI
253,41876,22.75,415110110,"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur",M. B. A.,AI-AI,AI
254,41963,22.41,510663210,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",(MBA)Agribusiness Management,AI-AI,AI
255,42152,21.36,262410110,"U. D. Pathrikar Institute of Management, At.Post Pathri, Aurangabad",M. B. A.,AI-AI,AI
256,42165,21.3,130262910,"Sushila Suryawanshi Management Institute of Technology Advancement, Rahatgaon,Â Amravati",MBA ( Finance ),AI-AI,AI
257,42449,21.3,617410110,"KJ's Educational Institute Trinity Institute of Management & Research, Haveli, Pune",M. B. A.,AI-AI,AI
258,42630,20.47,412410110,"Amar Seva Mandal's Kamla Nehru Mahavidyalaya, Nagpur",M. B. A.,AI-AI,AI
260,42809,20.41,676910110,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",M. B. A.,AI-AI,AI
261,43324,18.67,663810110,"Matrix School of Managment Studies, Ambegaon",M. B. A.,AI-AI,AI
262,43327,18.65,430610110,"Real Institute Of Management & Research, Beltarodi, Nagpur",M. B. A.,AI-AI,AI
263,43331,18.6,461410110,"Shantiniketan Business School, Nagpur",M. B. A.,AI-AI,AI
264,43373,18.57,619510110,"Zeal Education Society's, Zeal Institute of Management and Computer Application, Nahre, Pune",M. B. A.,AI-AI,AI
265,43403,18.57,629810110,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",M. B. A.,AI-AI,AI
266,43467,18.57,411410110,"Department of Business Management, C. P. Berar Education Society's College, Nagpur",M. B. A.,AI-AI,AI
267,43504,18.3,251610110,International Centre Of Excellence In Engineering and Management (ICEEM),M. B. A.,AI-AI,AI
268,43739,18.24,410610190L,"Shikshan Prasarak Mandal's Dept. of Management Studies, Nabira Mahavidyalaya, Nagpur",M. B. A.,AI-AI,AI
269,43843,18.24,615010110,"Sharad Chandra Pawar Institute of Management, Otur, Pune",M. B. A.,AI-AI,AI
270,43884,18.24,532510110,"Global Institute of Management, Velhale Tal. Sangamner Dist. Ahmednagar",M. B. A.,AI-AI,AI
271,44427,16.66,510410110,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",M. B. A.,AI-AI,AI
272,44502,16.17,413910110,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",M. B. A.,AI-AI,AI
273,44613,16.11,512310110,"Nashik Gramin Shikshan Prasarak Mandal, Brahma Valley Institute of Management, Anjaneri, Nashik",M. B. A.,AI-AI,AI
274,44782,15.67,510110110,"Khandesh College Education Society's Institute of Management & Research, Jalgaon",M. B. A.,AI-AI,AI
275,44903,15.67,600310110,"Department of Management, Punyashlok Ahilyadevi Holkar Solapur University, Solapur",M. B. A.,AI-AI,AI
276,44972,15.48,617010110,"Abhinav Education Society's Institute of Management and Research, Haveli, Pune",M. B. A.,AI-AI,AI
277,44992,15.48,512610110,"Ozar Vikas Sanstha's Vishwasattya College of MBA, Ozar.",M. B. A.,AI-AI,AI
278,44999,15.48,614010110,"Dnyan Kala Krida & Krishi Prathishtan's Maharashtra Institute of Management, Kalamb, Pune",M. B. A.,AI-AI,AI
280,45139,15.35,412910110,"Mehmuda Shikshan & Mahila Gramin Vikas Bahuuddeshiya Sanstha's, Central India College of Business Management & Studies,",M. B. A.,AI-AI,AI
281,45271,15.01,211210110,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",M. B. A.,AI-AI,AI
282,45348,14.77,466210110,"Dr. Arun Motghare Mahavidyalaya MBA, Kosara- Konda, Bhandara",M. B. A.,AI-AI,AI
283,45826,13.36,210210110,"Rajarshi Shahu Institute of Management, Aurangabad",M. B. A.,AI-AI,AI
284,46162,12.48,466110110,"Ahirkar Institute of Management Studies, Nagpur",M. B. A.,AI-AI,AI
285,46208,12.23,621310110,"Chh. Shahu Institute Of Business Edu And Res Vasantraodada Patil Institute Of Management Studies & Research, Sangli",M. B. A.,AI-AI,AI
286,46344,12.12,510663610,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",MBA(FIN TECH),AI-AI,AI
287,46367,11.93,252010110,"D. B. Institute Of Management & Research, Mouza-Mahalngra,Ta.Chakur,Dist.Latur",M. B. A.,AI-AI,AI
288,46532,11.46,510610110,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",M. B. A.,AI-AI,AI
289,46710,10.89,321710210,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",M. M. S.,AI-AI,AI
290,46714,10.78,674510110,"Shrimat Jayshreemaladevi Naik-Nimbalkar Institute of Management Studies, Phaltan Dist-Satara",M. B. A.,AI-AI,AI
291,46781,10.72,413310110,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",M. B. A.,AI-AI,AI
292,46928,10.67,411810110,"Bapurao Deshmukh College of Engineering, Sevagram",M. B. A.,AI-AI,AI
293,47097,10.38,612010110,"Shri. Khanderai Pratishthans Dnyansagar Institute of Management and Research, Balewadi, Pune",M. B. A.,AI-AI,AI
294,47192,9.94,689963010,"Chhatrapati Shahu Institute of Business Education & Research, Kolhapur",MBA (Environment),AI-AI,AI
295,47307,9.62,521910110,"Mahatma Gandhi Vidyamandir's Samajshree Prashantdada Hiray College of Management and Technology, Nashik",M. B. A.,AI-AI,AI
296,47309,9.62,621610110,"Krishna Foundation Malkapur-Karad's Jaywant Institute of Management, Wathar",M. B. A.,AI-AI,AI
297,47422,9.14,257110110,"Kishori College of M.B.A., Beed",M. B. A.,AI-AI,AI
298,47646,8.79,130217810,"Sushila Suryawanshi Management Institute of Technology Advancement, Rahatgaon,Â Amravati",M.B.A.(Marketing),AI-AI,AI
300,47779,8.71,515263810,"G H Raisoni Institute of Engineering and Business Management, Jalgaon",MBA (Family Managed Business),AI-AI,AI
301,47861,8.13,620610110,"Pune District Education Association's College of Engineering, Pune",M. B. A.,AI-AI,AI
302,47930,8.13,681310110,"Swaraj Institute of Management, Vanvasmachi, Tal.Karad, Dist.Satara",M. B. A.,AI-AI,AI
303,47958,8.13,618410110,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",M. B. A.,AI-AI,AI
304,48244,7.06,512710110,"Kalyani Charitable Trust, Kalyani Ravindra Sapkal College of Management Studies, Nashik",M. B. A.,AI-AI,AI
305,48266,7.06,412810110,"Ranibai Agnihotri Institute of Computer Information Technology, Wardha",M. B. A.,AI-AI,AI
306,48310,7.06,410310110,"Department of Managament Science & Research J.M.Patel College, Bhandara",M. B. A.,AI-AI,AI
307,48716,6.15,699010110,Jaihind Institute of Management and Research,M. B. A.,AI-AI,AI
308,48721,5.88,550910110,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",M. B. A.,AI-AI,AI
309,48722,5.88,414110110,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",M. B. A.,AI-AI,AI
310,48730,5.67,673410110,"Ideal Institute Of Management, Kondigare, Tal Shirol, Kolhapur",M. B. A.,AI-AI,AI
311,48864,5.58,413410110,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",M. B. A.,AI-AI,AI
312,48979,5.46,614410110,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",M. B. A.,AI-AI,AI
313,49249,4.6,225610110,"Foster Development School of Management, Aurangabad",M. B. A.,AI-AI,AI
314,49264,4.6,413010110,"Shree Sai Shikshan Sanstha, NIT Graduate School of Management, Nagpur",M. B. A.,AI-AI,AI
315,49340,4.47,262210110,"Jay Bhavani Institute of Management, Badnapur, Jalna",M. B. A.,AI-AI,AI
316,49489,3.93,257010110,"Mitthulalji Sarda MBA College, Beed",M. B. A.,AI-AI,AI
317,49524,3.79,699410110,"Arham Management Institute, Manjri Budruk",M. B. A.,AI-AI,AI
318,49525,3.79,510210110,"Godavari Institute of Management & Research, Jalgaon",M. B. A.,AI-AI,AI
320,49704,3.42,430710110,"Renaissance Institute Of Management Studies, Datala New Chandrapur",M. B. A.,AI-AI,AI
321,49713,3.42,256910110,"Suraj Institute of Management, Beed",M. B. A.,AI-AI,AI
322,49791,3.15,257116510,"Kishori College of M.B.A., Beed",M.B.A.(Marketing Management),AI-AI,AI
323,49832,2.94,511710110,Pirens Institute Of Business Management And Administration (IBMA) Loni (BK),M. B. A.,AI-AI,AI
324,49876,2.86,210416510,"Aditya College of MBA, Beed",M.B.A.(Marketing Management),AI-AI,AI
325,49917,2.82,130216410,"Sushila Suryawanshi Management Institute of Technology Advancement, Rahatgaon,Â Amravati",M.B.A.(Human Resource Management),AI-AI,AI
326,49928,2.82,210610110,"Lokvikas Educational & Charitable Trust's Marathwada Institute of Management and Research, Aurangabad",M. B. A.,AI-AI,AI
327,49977,2.74,419210110,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur",M. B. A.,AI-AI,AI
328,49984,2.74,418810110,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",M. B. A.,AI-AI,AI
329,50015,2.44,257062910,"Mitthulalji Sarda MBA College, Beed",MBA ( Finance ),AI-AI,AI
330,50023,2.39,532310110,"Sant Dnyaneshwar institute of Management and Business Administration,",M. B. A.,AI-AI,AI
331,50044,2.39,257162910,"Kishori College of M.B.A., Beed",MBA ( Finance ),AI-AI,AI
332,50047,2.34,257016510,"Mitthulalji Sarda MBA College, Beed",M.B.A.(Marketing Management),AI-AI,AI
333,50142,2.24,664410110,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",M. B. A.,AI-AI,AI
334,50151,2.24,665010110,"Vishwakarma Dadasaheb Chavan Institute of Management and Research, Malwadi",M. B. A.,AI-AI,AI
335,50200,1.98,411110110,"Sarvodaya Shikshan Mandal's Sau Leena Kishor Mamidvar Institute of Management Studies & Research, Chandrapur",M. B. A.,AI-AI,AI
336,50231,1.83,211910110,"Shree Sharda Bhavan Education Society's Institute of Technology & Management, Nanded",M. B. A.,AI-AI,AI
337,50247,1.83,538510110,"Akole Taluka Education Society,s Technical Campus, Akole, Ahmednagar",M. B. A.,AI-AI,AI
338,50365,1.43,518663310,"R. C. Patel Institute of Pharmaceutical Education and Research, Shirpur",(MBA)Pharmaceutical Management,AI-AI,AI
340,50434,1.29,335710210,"S A V Acharya Institute of Management Studies, Shelu, Tal. Karjat",M. M. S.,AI-AI,AI
341,50468,1.13,631564010,"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala",MBA (Business Analytics),AI-AI,AI
342,50483,1.1,256916410,"Suraj Institute of Management, Beed",M.B.A.(Human Resource Management),AI-AI,AI
343,50562,0.84,466310110,"Dr. R. G. Bhoyar Arts, Commerce and Science College, Seloo, Wardha",M. B. A.,AI-AI,AI
344,50589,0.77,335810210,"SAS Institute of Management Studies, Boisar Dist. Thane",M. M. S.,AI-AI,AI
345,50613,0.66,213610110,"Aditya Engineering College , Beed",M. B. A.,AI-AI,AI
346,50624,0.64,620410110,"Rastriya Shikshan Mandal's Chetan Dattaji Gaikwad Institute of Management Studies, Pune",M. B. A.,AI-AI,AI
347,50637,0.61,413510110,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",M. B. A.,AI-AI,AI
348,50653,0.5,538010110,"Adsul's Technical Campus, Chas Dist. Ahmednagar",M. B. A.,AI-AI,AI
349,50704,0.3,200410110,"School of Management, Swami Ramanand Teerth Marathwada University, Sub Centre, Peth, Latur",M. B. A.,AI-AI,AI
350,50727,0.23,414310110,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",M. B. A.,AI-AI,AI
351,50728,0.22,211510110,"Sahyog Sevabhavi Santha's Indira Institute of Management Science, Nanded",M. B. A.,AI-AI,AI
352,50753,0.14,411010110,vidya shikhan prasarak mandal's central institute of business management Reserch & Development,M. B. A.,AI-AI,AI
353,50770,0.08,225910110,"Shri Sai Institute of Management & Research, Aurangabad",M. B. A.,AI-AI,AI
354,50771,0.07,256916510,"Suraj Institute of Management, Beed",M.B.A.(Marketing Management),AI-AI,AI
355,50776,0.05,210410110,"Aditya College of MBA, Beed",M. B. A.,AI-AI,AI
356,50781,0.02,412510110,"Green Heaven Institute of Management & Research, Nagpur",M. B. A.,AI-AI,AI
