sr_no,merit_no,score,choice_code,institute_name,course_name,type,seat_type
167,40767,24.65,211410110,"Deogiri Institute of Engineering and Management Studies, Aurangabad",M. B. A.,AI to AI,AI
168,41287,24.31,613610110,"Sinhgad Technical Education Society, Sinhgad Business School, Erandwane, Pune",M. B. A.,AI to AI,AI
169,41353,23.89,314610210,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",M. M. S.,AI to AI,AI
170,41354,23.88,532110110,"Institute of Management and Science, Sakegaon",M. B. A.,AI to AI,AI
171,41416,22.9,679810110,"Sri Balaji Education Society International School of Management & Research, Wadki, Pune",M. B. A.,AI to AI,AI
172,41490,22.81,200310110,"Swami Ramanand Teerth Marathwada University, School of Commerce & Management Science, Nanded",M. B. A.,AI to AI,AI
173,41567,22.81,615810110,"Rajmata Jijau Shikshan Prasarak Mandal's Institute of Computer and Management Research, Dudulgaon, Pune",M. B. A.,AI to AI,AI
174,41804,22.75,516210110,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",M. B. A.,AI to AI,AI
175,41958,22.46,415110110,"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur",M. B. A.,AI to AI,AI
176,42117,22.31,316110210,Viva Institute of Management and Research (Viva School of Management and Research),M. M. S.,AI to AI,AI
177,42136,21.94,210810110,"Adarsh Shikshan Prasarak Mandal's K.T. Patil College of MBA, Osmanabad",M. B. A.,AI to AI,AI
178,42489,21.24,510663210,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",(MBA)Agribusiness Management,AI to AI,AI
180,43201,20.01,511362810,"Nashik District Maratha Vidya Prasarak Samaj's Institute of Management Research & Technology, Nashik",MBA ( Human Resource Development),AI to AI,AI
181,43309,19.23,614010110,"Dnyan Kala Krida & Krishi Prathishtan's Maharashtra Institute of Management, Kalamb, Pune",M. B. A.,AI to AI,AI
182,43312,19.13,418110110,"Swaminarayan Siddhanta Institute Of Technology, Nagpur",M. B. A.,AI to AI,AI
183,43313,19.05,343710210,"Sahyadri Institute of Management & Research, Sawarde.",M. M. S.,AI to AI,AI
184,43340,18.57,622010110,"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur",M. B. A.,AI to AI,AI
185,43482,18.42,262410110,"U. D. Pathrikar Institute of Management, At.Post Pathri, Aurangabad",M. B. A.,AI to AI,AI
186,43916,18.15,678510150F,"Abasaheb Garware Institute of Management Studies (For Women), Sangli",M. B. A.,AI to AI,AI
187,43917,18.15,612310110,"S.N.G. Institute of Management & Research, Jaidwadi, Pune",M. B. A.,AI to AI,AI
188,43918,18.14,313310210,"Swayamsiddhi Mitra Sangh's College of Management & Research, Thane",M. M. S.,AI to AI,AI
189,43919,18.08,663210110,Navsahyadri Education Society's Group of Institutions,M. B. A.,AI to AI,AI
190,44084,17.82,616610110,"Audyogik Shikshan Mandal's Institute of Professional Studies, Pimpri Waghere, Pune",M. B. A.,AI to AI,AI
